"villageid","hh_id","leader","caste_category_label","caste_category","subcaste_label","subcaste","hh_owned_label","hh_owned","roof_type","num_rooms","electricity","occupation_label","occupation"
1,125,0,"OBC",3,"Kuruba",404,"Owned",1,3,2,1,"Industry/factory worker(brick making etc)",10
1,126,0,"SCHEDULED TRIBE",2,"Bhovi/Odda/Vaddar",206,"Owned",1,4,2,2,"Farm labourer",3
1,127,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,4,2,1,"Farm labourer",3
1,128,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,4,2,1,"Farm labourer",3
1,129,1,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,2,1,1,"Farm labourer",3
1,130,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,3,2,2,"Farm labourer",3
1,131,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,2,2,2,"Farm labourer",3
1,132,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,2,"Farm labourer",3
1,133,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,2,2,"Farm labourer",3
1,134,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm labourer",3
1,135,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm land-owner",2
1,136,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,1,"Farm labourer",3
1,137,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,2,"Farm land-owner",2
1,138,1,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,2,2,1,"Industry/factory worker(brick making etc)",10
1,139,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,5,1,"Industrialist",11
1,140,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,2,"Farm labourer",3
1,141,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned, but shared",2,3,2,2,"Farm labourer",3
1,142,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned, but shared",2,3,2,2,"Farm labourer",3
1,143,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,1,2,"Farm labourer",3
1,144,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,2,2,"Farm labourer",3
1,145,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,5,3,1,"Industry/factory worker(brick making etc)",10
1,146,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,1,1,2,"Farm labourer",3
1,147,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,1,2,2,"Masonry/construction worker",12
1,148,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm labourer",3
1,149,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Given by government",5,2,2,2,"Masonry/construction worker",12
1,150,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,1,1,3,"Masonry/construction worker",12
1,151,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,1,2,"Industrialist",11
1,152,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,1,2,"Industry/factory worker(brick making etc)",10
1,153,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm land-owner",2
1,154,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,5,3,1,"Private services",9
1,155,0,"GENERAL",4,"Vishwakarma/Aksali/Achari",407,"Owned",1,4,4,1,"Farm labourer",3
1,156,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,1,"Industrialist",11
1,157,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,2,2,"Farm labourer",3
1,158,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,3,2,"Farm labourer",3
1,159,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,3,1,"Farm labourer",3
1,160,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm labourer",3
1,161,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,3,2,"Farm labourer",3
1,162,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,6,1,"Farm land-owner",2
1,163,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,1,2,"Farm labourer",3
1,164,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,3,"Farm labourer",3
1,165,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,1,"Farm labourer",3
1,166,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm labourer",3
1,167,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,5,1,"Farm labourer",3
1,168,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,3,2,"Farm labourer",3
1,169,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,2,3,2,"Farm land-owner",2
1,170,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm labourer",3
1,171,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,1,4,1,"Farm land-owner",2
1,172,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,1,1,"Masonry/construction worker",12
1,173,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,1,1,"Farm labourer",3
1,174,1,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,2,3,2,"Farm labourer",3
1,175,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,1,3,3,"Farm labourer",3
1,176,1,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,1,2,2,"Industrialist",11
1,177,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,3,1,"Farm labourer",3
1,178,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm labourer",3
1,179,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Private services",9
1,180,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm labourer",3
1,181,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,3,"Farm labourer",3
1,182,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,1,"Farm land-owner",2
1,183,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,2,2,"Farm labourer",3
1,184,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,1,2,"Farm labourer",3
1,186,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,1,1,1,"Farm labourer",3
1,187,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,5,3,1,"Farm labourer",3
1,188,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,1,"Farm labourer",3
1,189,1,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,4,1,"Small business (shop, etc.)",1
1,190,1,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,3,2,"Private services",9
1,191,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,2,4,2,"Farm labourer",3
1,192,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,1,3,2,"Farm land-owner",2
1,193,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,2,2,"Farm labourer",3
1,194,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,2,2,2,"Private services",9
1,195,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,2,3,2,"Farm labourer",3
1,196,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,3,1,"Farm labourer",3
1,197,1,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,1,"Farm labourer",3
1,198,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,4,3,1,"Farm land-owner",2
1,199,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,2,4,2,"Farm land-owner",2
1,200,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,1,"Farm labourer",3
1,201,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,5,4,2,"Farm labourer",3
1,202,1,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,2,2,"Farm labourer",3
1,203,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,2,2,"Farm labourer",3
1,204,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,3,3,1,"Farm labourer",3
1,205,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,2,2,1,"Farm labourer",3
1,206,0,"SCHEDULED TRIBE",2,"Bhovi/Odda/Vaddar",206,"Owned",1,2,3,1,"Farm labourer",3
1,207,1,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,2,4,1,"Farm land-owner",2
1,208,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,1,3,2,"Farm labourer",3
1,209,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,1,2,2,"Farm labourer",3
1,210,0,"OBC",3,"Kuruba",404,"Owned",1,2,2,1,"Farm labourer",3
1,211,1,"OBC",3,"Kuruba",404,"Owned",1,5,3,1,"Small business (shop, etc.)",1
1,212,0,"OBC",3,"Kuruba",404,"Owned",1,5,3,1,"Farm labourer",3
1,213,0,"OBC",3,"Jenu/Kadu Kuruba",301,"Owned",1,2,3,3,"Farm labourer",3
1,214,0,"OBC",3,"Kuruba",404,"Owned",1,3,2,2,"Farm labourer",3
1,215,0,"OBC",3,"Kuruba",404,"Owned",1,3,2,2,"Farm labourer",3
1,216,0,"GENERAL",4,"Kuruba",404,"Owned",1,2,2,2,"Farm labourer",3
1,217,0,"OBC",3,"Kuruba",404,"Owned",1,1,2,1,"Farm labourer",3
1,218,0,"OBC",3,"Kuruba",404,"Owned",1,2,1,1,"Farm labourer",3
1,219,0,"OBC",3,"Kuruba",404,"Owned",1,2,2,1,"Farm labourer",3
1,220,0,"OBC",3,"Kuruba",404,"Owned",1,2,3,1,"Dairy/cattle rearing",5
1,221,0,"GENERAL",4,"Kuruba",404,"Owned",1,4,3,2,"Farm land-owner",2
1,222,0,"OBC",3,"Kuruba",404,"Owned",1,3,1,1,"Farm labourer",3
1,223,0,"OBC",3,"Kuruba",404,"Owned",1,1,3,2,"Farm labourer",3
1,224,0,"OBC",3,"Kuruba",404,"Owned",1,1,2,2,"Farm labourer",3
1,225,0,"OBC",3,"Kuruba",404,"Owned",1,1,2,2,"Industrialist",11
1,226,0,"OBC",3,"Kuruba",404,"Owned",1,2,2,2,"Farm land-owner",2
1,227,1,"GENERAL",4,"Kuruba",404,"Owned",1,2,2,2,"Small business (shop, etc.)",1
1,228,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,2,1,3,"Farm labourer",3
1,229,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,4,2,2,"Farm labourer",3
1,230,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,2,3,3,"Farm labourer",3
1,231,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,4,2,1,"Dairy/cattle rearing",5
1,232,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Rented",3,4,2,1,"Masonry/construction worker",12
1,233,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,4,2,3,"Farm labourer",3
1,234,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,2,1,2,"Pensioner",17
1,235,0,"OBC",3,"Nayaka",309,"Owned",1,2,1,2,"Masonry/construction worker",12
1,236,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,2,1,3,"Masonry/construction worker",12
1,237,0,"OBC",3,"Kuruba",404,"Owned",1,3,3,1,"Farm labourer",3
1,238,0,"OBC",3,"Kuruba",404,"Owned",1,5,3,1,"Farm land-owner",2
1,239,0,"OBC",3,"Kuruba",404,"Owned",1,1,2,1,"Farm labourer",3
1,240,0,"GENERAL",4,"Kuruba",404,"Owned",1,2,3,2,"Farm labourer",3
1,241,0,"OBC",3,"Kuruba",404,"Owned",1,4,4,1,"OTHERS, SPECIFY",-333
1,242,0,"OBC",3,"Kuruba",404,"Owned, but shared",2,3,2,1,"Farm labourer",3
1,243,0,"GENERAL",4,"Kuruba",404,"Owned",1,2,3,2,"Farm labourer",3
1,244,0,"OBC",3,"Kuruba",404,"Owned",1,5,4,1,"Farm land-owner",2
1,245,0,"OBC",3,"Jenu/Kadu Kuruba",301,"Owned",1,3,3,1,"Farm labourer",3
1,246,0,"OBC",3,"Jenu/Kadu Kuruba",301,"Owned",1,3,3,1,"Farm labourer",3
1,247,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,4,2,2,"Farm land-owner",2
1,248,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,4,2,2,"Farm land-owner",2
1,249,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,2,3,2,"Farm land-owner",2
1,250,0,"OBC",3,"Kuruba",404,"Owned",1,4,3,1,"Farm labourer",3
1,251,0,"OBC",3,"Kuruba",404,"Owned",1,3,3,1,"Farm labourer",3
1,252,0,"OBC",3,"Vishwakarma/Aksali/Achari",407,"Owned",1,3,2,2,"OTHERS, SPECIFY",-333
1,253,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,1,"Masonry/construction worker",12
1,254,0,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,3,1,"Government services (teacher, etc.)",8
1,255,0,"GENERAL",4,"Kuruba",404,"Owned",1,2,2,2,"Farm labourer",3
1,256,0,"OBC",3,"Kuruba",404,"Owned",1,4,4,1,"Farm labourer",3
1,257,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,3,2,1,"Masonry/construction worker",12
1,258,1,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,1,2,1,"Government services (teacher, etc.)",8
1,259,1,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,5,4,1,"Government services (teacher, etc.)",8
1,260,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,3,3,2,"Farm labourer",3
1,261,0,"OBC",3,"Kuruba",404,"Owned",1,2,5,2,"Farm labourer",3
1,262,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,2,3,2,"Farm labourer",3
1,263,0,"OBC",3,"Kuruba",404,"Owned",1,4,3,2,"Farm labourer",3
1,264,0,"OBC",3,"Vishwakarma/Aksali/Achari",407,"Owned",1,1,2,1,"Farm labourer",3
1,265,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,2,2,1,"Farm labourer",3
1,266,0,"OBC",3,"Kuruba",404,"Owned",1,1,2,1,"Farm labourer",3
1,267,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,1,1,3,"Farm labourer",3
1,268,0,"OBC",3,"Bhovi/Odda/Vaddar",206,"Owned",1,2,2,1,"Farm labourer",3
1,269,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,2,1,1,"Pensioner",17
1,270,1,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,2,2,1,"Farm land-owner",2
1,271,0,"OBC",3,"Kuruba",404,"Owned",1,4,2,2,"Farm labourer",3
1,272,1,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,4,3,1,"Farm labourer",3
1,273,1,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,3,4,2,"Masonry/construction worker",12
1,274,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,4,2,1,"Farm labourer",3
1,275,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,4,2,1,"Farm labourer",3
1,276,1,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,4,2,2,"Dairy/cattle rearing",5
1,277,0,"GENERAL",4,"Yadava/Golla/Gopala",405,"Owned",1,3,3,1,"Farm land-owner",2
1,278,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,2,3,2,"Farm labourer",3
1,279,0,"OBC",3,"Kuruba",404,"Owned",1,3,4,1,"Farm labourer",3
1,280,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,2,2,1,"Farm labourer",3
1,281,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,2,3,2,"Farm labourer",3
1,282,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,2,2,1,"Farm land-owner",2
1,283,0,"GENERAL",4,"Yadava/Golla/Gopala",405,"Owned",1,2,2,2,"Masonry/construction worker",12
1,284,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Rented",3,1,2,3,"Farm labourer",3
1,285,0,"OBC",3,"Kuruba",404,"Owned",1,2,1,1,"Dairy/cattle rearing",5
1,286,0,"OBC",3,"Kuruba",404,"Owned",1,2,2,1,"Farm land-owner",2
1,287,1,"OBC",3,"Kuruba",404,"Rented",3,2,2,1,"Farm labourer",3
1,288,0,"OBC",3,"Yadava/Golla/Gopala",405,"Rented",3,3,4,1,"Farm land-owner",2
1,289,1,"OBC",3,"Kuruba",404,"Owned",1,3,5,1,"Government services (teacher, etc.)",8
1,290,0,"GENERAL",4,"Kuruba",404,"Owned",1,5,5,1,"Government services (teacher, etc.)",8
1,291,0,"GENERAL",4,"Kuruba",404,"Owned",1,2,4,2,"Farm land-owner",2
1,292,1,"GENERAL",4,"Kuruba",404,"Owned",1,4,3,2,"Government services (teacher, etc.)",8
1,293,0,"OBC",3,"Kuruba",404,"Owned",1,3,2,1,"Farm labourer",3
1,294,0,"GENERAL",4,"Kuruba",404,"Rented",3,3,3,1,"Pensioner",17
1,295,0,"OBC",3,"Kuruba",404,"Owned",1,1,2,1,"Pensioner",17
1,296,0,"OBC",3,"Kuruba",404,"Owned",1,5,5,1,"Farm land-owner",2
1,297,0,"GENERAL",4,"Kuruba",404,"Owned",1,3,4,1,"Farm land-owner",2
1,298,0,"GENERAL",4,"Kuruba",404,"Owned",1,3,5,1,"Farm land-owner",2
1,299,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,5,3,1,"Farm land-owner",2
1,300,0,"OBC",3,"Kuruba",404,"Owned",1,3,4,1,"Farm land-owner",2
1,301,0,"GENERAL",4,"Kuruba",404,"Owned",1,3,4,1,"Farm land-owner",2
1,302,0,"OBC",3,"Bhovi/Odda/Vaddar",206,"Owned",1,3,3,3,"Farm labourer",3
1,303,0,"OBC",3,"Yadava/Golla/Gopala",405,"Owned",1,2,2,2,"Farm labourer",3
10,101,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,4,1,"Farm land-owner",2
10,102,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,5,2,1,"Farm land-owner",2
10,103,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Farm land-owner",2
10,104,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,2,"Sericulture owner",6
10,106,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Sericulture owner",6
10,108,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Farm land-owner",2
10,109,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,2,1,"Farm land-owner",2
10,110,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,4,1,"Farm land-owner",2
10,111,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,4,1,"Sericulture owner",6
10,112,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Farm land-owner",2
10,113,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Sericulture owner",6
10,114,1,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,4,1,"Farm land-owner",2
10,115,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,4,3,1,"Sericulture owner",6
10,116,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,2,1,"Sericulture owner",6
10,117,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,2,1,"Farm land-owner",2
10,118,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,2,1,"Farm land-owner",2
10,119,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,2,1,"Farm land-owner",2
10,120,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,2,"Farm labourer",3
10,121,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned, but shared",2,3,3,1,"Sericulture owner",6
10,122,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,2,1,"Farm land-owner",2
10,123,1,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Private services",9
10,124,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,4,1,"Farm labourer",3
10,125,1,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,4,1,"Government services (teacher, etc.)",8
10,126,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Dairy/cattle rearing",5
10,127,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,4,1,"Private services",9
10,128,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned, but shared",2,3,3,1,"Sericulture owner",6
10,129,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned, but shared",2,3,3,1,"Sericulture owner",6
10,130,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned, but shared",2,3,3,1,"Sericulture owner",6
10,131,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Farm land-owner",2
10,132,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Farm land-owner",2
10,133,1,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Farm land-owner",2
10,134,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,4,3,1,"Farm land-owner",2
10,135,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,3,3,1,"Farm land-owner",2
10,136,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,4,3,1,"Sericulture owner",6
10,137,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,4,2,1,"Sericulture owner",6
10,138,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,4,2,1,"Farm land-owner",2
10,139,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,4,2,1,"Sericulture owner",6
10,140,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,3,2,1,"Farm land-owner",2
10,141,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,2,1,"Farm land-owner",2
10,142,1,"SCHEDULED CASTE",1,"Adi Karnataka",201,"Owned",1,3,2,1,"Government services (teacher, etc.)",8
10,143,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,4,3,1,"Masonry/construction worker",12
10,144,0,"SCHEDULED TRIBE",2,"Nayaka",309,"Owned",1,3,3,1,"Masonry/construction worker",12
10,145,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Farm land-owner",2
10,146,0,"GENERAL",4,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Farm land-owner",2
10,147,0,"GENERAL",4,"Vishwakarma/Aksali/Achari",407,"Owned",1,3,3,1,"Industrialist",11
10,148,0,"OBC",3,"Vokkaliga/Gowda/Reddy",401,"Owned",1,3,3,1,"Farm land-owner",2
10,149,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,3,3,1,"Farm labourer",3
10,150,0,"GENERAL",4,"Agasa/Madivala",408,"Owned",1,4,2,1,"Farm labourer",3
10,151,0,"SCHEDULED CASTE",1,"Bhovi/Odda/Vaddar",206,"Owned",1,3,3,2,"Farm labourer",3
