Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank
4,C Chaka,User and enterprise mobility: mobile social networking and mobile cloud computing,2010,Cutter IT journal,,,"https://scholar.google.com/scholar?cites=12746979410109384984&as_sdt=2005&sciodt=0,5&hl=en&num=20",17
75,"D Kovachev, D Renzel, R Klamma…",Mobile community cloud computing: emerges and evolves,2010,"… (MDM), 2010 Eleventh …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/5489731/,"https://scholar.google.com/scholar?cites=16728149378744417554&as_sdt=2005&sciodt=0,5&hl=en&num=20",7
5,"D Kovachev, Y Cao, R Klamma","Mobile Cloud Computing: A Comparison of Application Models, Information Systems and Database Technologies",2010,RWTH Aachen University,,,"https://scholar.google.com/scholar?cites=1958487562896575533&as_sdt=2005&sciodt=0,5&hl=en&num=20",16
2,E Koblentz,ABI Research: Mobile Cloud Computing Reaches $5.2 B Market by 2015,2010,,,,"https://scholar.google.com/scholar?cites=8491001392797024783&as_sdt=2005&sciodt=0,5&hl=en&num=20",30
3,EA Halash,Mobile Cloud Computing: Case Studies,2010,Unpublished master's thesis]. The graduate school …,academia.edu,http://www.academia.edu/download/34153522/Mobile_cloud_computing_Case_studies.pdf,"https://scholar.google.com/scholar?cites=5497463891512925042&as_sdt=2005&sciodt=0,5&hl=en&num=20",20
7,F Capobianco,5 Reasons To Care About Mobile Cloud Computing,2010,International Free and Open Source Software Law …,ifosslr.org,http://www.ifosslr.org/ifosslr/article/view/24,"https://scholar.google.com/scholar?cites=10282998991564344637&as_sdt=2005&sciodt=0,5&hl=en&num=20",11
2,"F Millán, N Rodríguez, M Murazzo",Plataformas educativas implementadas con mobile cloud computing,2010,Trabajo Aprobado en: V Seminario Internacional …,,,"https://scholar.google.com/scholar?cites=2386631186249042957&as_sdt=2005&sciodt=0,5&hl=en&num=20",38
5,"G Huerta-Canepa, D Lee",A virtual cloud computing provider for mobile devices.,2010,ACM,,,"https://scholar.google.com/scholar?cites=18005545564666889605&as_sdt=2005&sciodt=0,5&hl=en&num=20",15
33,"H Liang, D Huang, D Peng",On economic mobile cloud computing model,2010,International Conference on Mobile …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-29336-8_22,"https://scholar.google.com/scholar?cites=2230575672330976958&as_sdt=2005&sciodt=0,5&hl=en&num=20",8
2,"H Yang, S Hwang",Mobile cloud computing service hwalseonghwa bangan,2010,,Digieco,,"https://scholar.google.com/scholar?cites=9409805915545397301&as_sdt=2005&sciodt=0,5&hl=en&num=20",33
2,"HD Yang, SW Hwang",A study on the improvement of mobile cloud computing services. DIGIECO focus,2010,,,,"https://scholar.google.com/scholar?cites=15398100068924489193&as_sdt=2005&sciodt=0,5&hl=en&num=20",28
1212,"K Kumar, YH Lu",Cloud computing for mobile users: Can offloading computation save energy?,2010,Computer,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/5445167/,"https://scholar.google.com/scholar?cites=9676900559468862902&as_sdt=2005&sciodt=0,5&hl=en&num=20",1
14,K Mun,Mobile cloud computing challenges,2010,TechZine Magazine,,,"https://scholar.google.com/scholar?cites=11177837127563255047&as_sdt=2005&sciodt=0,5&hl=en&num=20",10
0,"KJ Lee, DH Seo, JH Nah, YS Mun",Enhanced Cross-Layering Mobile IPv6 Fast Handover over IEEE 802.16 e Networks in Mobile Cloud Computing Environment,2010,Journal of the Institute of …,koreascience.or.kr,http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=DHJJK@_2010_v47n12_45,,35
2,L Yue,Survey on cloud computing and application research on mobile cloud computing,2010,Information and Communications Technologies,,,"https://scholar.google.com/scholar?cites=4538567065409754808&as_sdt=2005&sciodt=0,5&hl=en&num=20",24
2,L Yue,Reviews of Cloud Computing and Research on the Application of Mobile Cloud Computing,2010,Information and Communications Technologies,,,"https://scholar.google.com/scholar?cites=16784474553911399583&as_sdt=2005&sciodt=0,5&hl=en&num=20",25
2,"LG Jin, SD Hee, NJ Hoon, MY Sung",Enhanced cross-laying Mobile IPv6 fast handover IEEE 802.16 e networks in mobile cloud computing environment,2010,J. IEEK,,,"https://scholar.google.com/scholar?cites=12579100276606858254&as_sdt=2005&sciodt=0,5&hl=en&num=20",26
2,M Kyung,Mobile Cloud Computing Challenges [0L],2010,,,,"https://scholar.google.com/scholar?cites=5248507861077396455&as_sdt=2005&sciodt=0,5&hl=en&num=20",29
3,M Satyanarayanan,"Mobile computing: the next decade,‖ in Proceedings of the 1st ACM Workshop on Mobile Cloud Computing & Services: Social Networks and Beyond …",2010,,June,,"https://scholar.google.com/scholar?cites=17418165564751262207&as_sdt=2005&sciodt=0,5&hl=en&num=20",18
3,"M Whang, W Goh, D Lee, J Gwak",Certificate Management Plan in Smartphonebanking using the Mobile-Cloud Computing,2010,Proceedings of IEEK (Institute of Electronics …,,,"https://scholar.google.com/scholar?cites=3984906233437034231&as_sdt=2005&sciodt=0,5&hl=en&num=20",19
16,"MA Murazzo, NR Rodríguez",Mobile cloud computing,2010,XII Workshop de Investigadores en …,sedici.unlp.edu.ar,http://sedici.unlp.edu.ar/handle/10915/19570,"https://scholar.google.com/scholar?cites=5501082174378931063&as_sdt=2005&sciodt=0,5&hl=en&num=20",5
2,"MAF Gutierrez, N Ventura",Mobile cloud computing: Embracing network as a service,2010,Proceedings of the Southern Africa …,satnac.org.za,http://www.satnac.org.za/proceedings/2010/papers/progress/Gutierrez%20468.pdf,"https://scholar.google.com/scholar?cites=17996724712611639459&as_sdt=2005&sciodt=0,5&hl=en&num=20",21
1,O Gardens,Mobile Cloud Computing: Issues and Risks from a Security Privacy Perspective,2010,Retrieved March,,,"https://scholar.google.com/scholar?cites=14587310956709927008&as_sdt=2005&sciodt=0,5&hl=en&num=20",34
8,P Narasimhan,Agora: mobile cloud-computing middleware,2010,,Prentice-Hall,,"https://scholar.google.com/scholar?cites=17946762739111011167&as_sdt=2005&sciodt=0,5&hl=en&num=20",12
25,S Perez,Mobile cloud computing: $9.5 billion by 2014,2010,"Technical Reprot, ReadWriteMobile",,,"https://scholar.google.com/scholar?cites=4115621588924363069&as_sdt=2005&sciodt=0,5&hl=en&num=20",9
75,"W Itani, A Kayssi, A Chehab",Energy-efficient incremental integrity for securing storage in mobile cloud computing,2010,Energy Aware Computing (ICEAC …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/5702296/,"https://scholar.google.com/scholar?cites=13487966358717821281&as_sdt=2005&sciodt=0,5&hl=en&num=20",6
8,"Y Yoon, S Kim",Mobile cloud computing technology,2010,National IT Industry Promotion Agency (NIPA),,,"https://scholar.google.com/scholar?cites=9596080546661546482&as_sdt=2005&sciodt=0,5&hl=en&num=20",13
66,"A Khan, K Ahirwar",Mobile cloud computing as a future of mobile multimedia database,2011,International Journal of Computer Science and …,academia.edu,http://www.academia.edu/download/40746604/1._MOBILE_CLOUD_COMPUTING_AS_A_FUTURE_OF_MOBILE_MULTIMEDIA_DATABASE.pdf,"https://scholar.google.com/scholar?cites=2490042117204117461&as_sdt=2005&sciodt=0,5&hl=en&num=20",9
2,A Preston,Mobile cloud computing. IBM Developer Works,2011,,,,"https://scholar.google.com/scholar?cites=3337147978702623136&as_sdt=2005&sciodt=0,5&hl=en&num=20",67
1,"AA Soomro, MAR Lakhan, A Khan",The Secure Data Storage in Mobile Cloud Computing,2011,Journal of Information & …,ibt.edu.pk,http://ibt.edu.pk/qec/jict/9.2/10.pdf,"https://scholar.google.com/scholar?cites=1837592554482632171&as_sdt=2005&sciodt=0,5&hl=en&num=20",69
15,"AD Nguyen, P Sénac, V Ramiro",How mobility increases mobile cloud computing processing capacity,2011,Network Cloud Computing …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6123437/,"https://scholar.google.com/scholar?cites=3963930319493668920&as_sdt=2005&sciodt=0,5&hl=en&num=20",27
1,AJ Paverd,Enhanced mobile computing using cloud resources,2011,,open.uct.ac.za,http://open.uct.ac.za/handle/11427/11063,"https://scholar.google.com/scholar?cites=8424403386430838403&as_sdt=2005&sciodt=0,5&hl=en&num=20",70
2,"AJ Paverd, MR Inggs, SL Winberg",Towards a framework for enhanced mobile computing using cloud resources,2011,Proceedings of the Southern …,academia.edu,http://www.academia.edu/download/30936265/230.pdf,"https://scholar.google.com/scholar?cites=7479634192323619022&as_sdt=2005&sciodt=0,5&hl=en&num=20",55
0,"AJ Paverd, MR Inggs, SL Winberg",Analysis Framework For Enhanced Mobile Computing Using Cloud Resources,2011,Department of Computer Science …,cs.ox.ac.uk,http://www.cs.ox.ac.uk/files/4448/proceedings-2011.pdf#page=22,,75
4,BJ Choi,A study on the concept and implementation method for Korea Virtualizationbased Mobile Cloud Computing,2011,Journal of Information Processing Society,,,"https://scholar.google.com/scholar?cites=6842765252552412509&as_sdt=2005&sciodt=0,5&hl=en&num=20",43
0,"C Fernández-Llatas, G Ibáñez, P Sala, SF Pileggi…",Mobile Cloud Computing Architecture for Ubiquitous Empowering of People with Disabilities.,2011,ICSOFT (1),,,,77
10,"C Jang, E Choi",Context model based on ontology in mobile cloud computing,2011,Advanced Communication and Networking,Springer,https://link.springer.com/chapter/10.1007/978-3-642-23312-8_18,"https://scholar.google.com/scholar?cites=16668339260300559236&as_sdt=2005&sciodt=0,5&hl=en&num=20",29
3,"C Jang, H Chang, H Ahn, Y Kang, E Choi",Profile for effective service management on mobile cloud computing,2011,Advanced Communication and …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-23312-8_17,"https://scholar.google.com/scholar?cites=18215828606840993824&as_sdt=2005&sciodt=0,5&hl=en&num=20",48
3,C Xu,Mobile cloud computing and applications,2011,中兴通讯技术 (英文版),en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTOTAL-ZCTX201101004.htm,"https://scholar.google.com/scholar?cites=9810463049207536829&as_sdt=2005&sciodt=0,5&hl=en&num=20",85
4,D Huang,MobiCloud: A secure mobile cloud computing platform,2011,E-Letter of Multimedia Communications Technical …,,,"https://scholar.google.com/scholar?cites=7409024587483762719&as_sdt=2005&sciodt=0,5&hl=en&num=20",45
133,"D Huang, Z Zhou, L Xu, T Xing…",Secure data processing framework for mobile cloud computing,2011,"… WKSHPS), 2011 IEEE …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/5928886/,"https://scholar.google.com/scholar?cites=1116293754514470899&as_sdt=2005&sciodt=0,5&hl=en&num=20",3
13,"D Koavchev, Y Cao, R Klamma",Mobile multimedia cloud computing and the web,2011,Multimedia on the Web …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6167824/,"https://scholar.google.com/scholar?cites=9933387311419078080&as_sdt=2005&sciodt=0,5&hl=en&num=20",36
0,D Lu-sheng,Data Peocessing Methods of Mobile Cloud Computing,2011,Journal of Anhui Vocational College of Electronics & …,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTOTAL-AHDJ201105012.htm,,78
22,"DS Oh, BH Kim, JK Lee",A study on authentication system using QR code for mobile cloud computing environment,2011,Future Information Technology,Springer,https://link.springer.com/chapter/10.1007/978-3-642-22333-4_65,"https://scholar.google.com/scholar?cites=16748559688408539842&as_sdt=2005&sciodt=0,5&hl=en&num=20",20
10,"DY Weider, H Yuan",An approach to explore mobile software engineering advances in cloud computing environment,2011,Computer Software and Applications …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6032253/,"https://scholar.google.com/scholar?cites=14766575518404251745&as_sdt=2005&sciodt=0,5&hl=en&num=20",39
4,"EY Choi, BJ Han, DH Shin, HC Jung","KISA Security R&D Team,“A Study for Enhancing Mobile Cloud Computing Security,”",2011,Proc. of 2011 Korean Society for Internet …,,,"https://scholar.google.com/scholar?cites=13303194466837446262&as_sdt=2005&sciodt=0,5&hl=en&num=20",44
2,"F Niroshinie, LS Wai, R Wenny",Dynamic Mobile Cloud Computing: Ad Hoc and Opportunistic Job Sharing. Utility and Cloud Computing (UCC),2011,Fourth IEEE International Conference,,,"https://scholar.google.com/scholar?cites=17653868181848049806&as_sdt=2005&sciodt=0,5&hl=en&num=20",59
2,"FP Tso, L Cui, L Zhang, W Jia",Building a platform to bridge low end mobile phones and cloud computing services,2011,ZTE Communications,poscotso.com,https://www.poscotso.com/wp-content/uploads/2016/03/tso2011building.pdf,"https://scholar.google.com/scholar?cites=16319715548709260968&as_sdt=2005&sciodt=0,5&hl=en&num=20",68
0,"H Chang, H Ahn, Y Kang, E Choi",Intelligent filtering method for improvement of service accuracy in Mobile Cloud Computing,2011,Computer Sciences and …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6316733/,,74
2,H Dijiang,Mobile cloud computing,2011,IEEE COMSOC Multimedia Communications Technical …,,,"https://scholar.google.com/scholar?cites=2810111684469008005&as_sdt=2005&sciodt=0,5&hl=en&num=20",63
54,"H Liang, D Huang, LX Cai, X Shen…",Resource allocation for security services in mobile cloud computing,2011,"… WKSHPS), 2011 IEEE …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/5928806/,"https://scholar.google.com/scholar?cites=14776264772030376647&as_sdt=2005&sciodt=0,5&hl=en&num=20",17
0,"H LU, X XIA, X WANG",Analysis the Performance of Data Protection in Mobile Cloud Computing [J],2011,Netinfo Security,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTOTAL-XXAQ201109006.htm,,72
2,"H Shan-Quan, L Chang-Hai, L Yao-Hui",Design and implementation of the system of image retrieval based on mobile cloud computing,2011,Value Engineering,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTOTAL-JZGC201102137.htm,"https://scholar.google.com/scholar?cites=8182561362498337615&as_sdt=2005&sciodt=0,5&hl=en&num=20",57
0,"HMA El Aty, HA Hassan…",An interactive city framework: Mobile Cloud Computing approach,2011,Signal Processing and …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6151526/,,79
7,I Chandrasekaran,Mobile computing with cloud,2011,Advances in Parallel Distributed Computing,Springer,https://link.springer.com/chapter/10.1007/978-3-642-24037-9_51,"https://scholar.google.com/scholar?cites=17489632363545046263&as_sdt=2005&sciodt=0,5&hl=en&num=20",40
25,"J Lee, D Hong",Pervasive forensic analysis based on mobile cloud computing,2011,"… Networking and Security (MINES), 2011 Third …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6103838/,"https://scholar.google.com/scholar?cites=12768383323927655269&as_sdt=2005&sciodt=0,5&hl=en&num=20",22
6,J Maan,Extending the Principles of Cloud Computing in Mobile Domain,2011,Trends in Network and Communications,Springer,https://link.springer.com/chapter/10.1007/978-3-642-22543-7_20,"https://scholar.google.com/scholar?cites=9414924751273724838&as_sdt=2005&sciodt=0,5&hl=en&num=20",37
2,J Vance,Mobile cloud computing: 5 key trends,2011,Retrieved March,,,"https://scholar.google.com/scholar?cites=13443820183065836465&as_sdt=2005&sciodt=0,5&hl=en&num=20",64
74,"J Yang, H Wang, J Wang, C Tan, D Yu",Provable data possession of resource-constrained mobile devices in cloud computing.,2011,JNW,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/d476/57d23ba99f73b3e366aabdcbad0a7ffbb8b7.pdf,"https://scholar.google.com/scholar?cites=15043707529698732073&as_sdt=2005&sciodt=0,5&hl=en&num=20",21
62,"JS Park, HC Yu, KS Chung…",Markov chain based monitoring service for fault tolerance in mobile cloud computing,2011,… Information Networking and …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/5763554/,"https://scholar.google.com/scholar?cites=12916439578687048750&as_sdt=2005&sciodt=0,5&hl=en&num=20",15
12,"JS Park, KJ Yi, JH Park",SSP-MCloud: A study on security service protocol for smartphone centric mobile cloud computing,2011,IT Convergence and Services,Springer,https://link.springer.com/10.1007%2F978-94-007-2598-0_18,"https://scholar.google.com/scholar?cites=14267547785322963462&as_sdt=2005&sciodt=0,5&hl=en&num=20",28
2,K Kim,Mobile Cloud Computing,2011,IEEE COMSOC MMTC E-Letter,,,"https://scholar.google.com/scholar?cites=5221072277815915378&as_sdt=2005&sciodt=0,5&hl=en&num=20",62
0,L Deboosere,Efficient management of mobile cloud computing services,2011,,biblio.ugent.be,https://biblio.ugent.be/publication/1923948,,76
153,"L Guan, X Ke, M Song, J Song",A survey of research on mobile cloud computing,2011,Computer and Information …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6086500/,"https://scholar.google.com/scholar?cites=13844332927204862845&as_sdt=2005&sciodt=0,5&hl=en&num=20",2
3,"L Guan, X Ke, M Song, J Song",IEEE A Survey of Research on Mobile Cloud Computing” pp: 387–392,2011,,May,,"https://scholar.google.com/scholar?cites=15951126922612629418&as_sdt=2005&sciodt=0,5&hl=en&num=20",52
22,"M Altamimi, K Naik",The concept of a mobile cloud computing to reduce energy cost of smartphones and ICT systems,2011,… Conference on Information and Communication on …,Springer,https://link.springer.com/10.1007%2F978-3-642-23447-7_8,"https://scholar.google.com/scholar?cites=7114892269035367561&as_sdt=2005&sciodt=0,5&hl=en&num=20",23
4,"M Chaturvedi, S Malik, P Aggarwal, S Bahl",Privacy & Security of Mobile Cloud Computing,2011,"Ansal University, Sector",bic-trust.eu,http://www.bic-trust.eu/files/2013/06/Paper_MC.pdf,"https://scholar.google.com/scholar?cites=17254282592623931134&as_sdt=2005&sciodt=0,5&hl=en&num=20",49
8,"M Nkosi, F Mekuria","Improving the capacity, reliability & life of mobile devices with Cloud Computing",2011,"IST-Africa Conference Proceedings, 2011",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6107381/,"https://scholar.google.com/scholar?cites=16643730516920603999&as_sdt=2005&sciodt=0,5&hl=en&num=20",41
11,M Schüring,Mobile cloud computing–open issues and solutions,2011,"… Student Conference on IT, Enschede, The …",referaat.cs.utwente.nl,http://referaat.cs.utwente.nl/conference/15/paper/7247/mobile-cloud-computing-open-issues-and-solutions.pdf,"https://scholar.google.com/scholar?cites=2297157380581666652&as_sdt=2005&sciodt=0,5&hl=en&num=20",32
0,"M Schüring, G Karagiannis","Mobile Cloud Computing: Resource Discovery, Session Connectivity and Other Open Issues",2011,ICT. OPEN 2011,research.utwente.nl,https://research.utwente.nl/en/publications/mobile-cloud-computing-resource-discovery-session-connectivity-an,,82
8,M Shanklin,Mobile cloud computing,2011,A survey paper written under the guidance of Prof. Raj …,,,"https://scholar.google.com/scholar?cites=13152668548494870219&as_sdt=2005&sciodt=0,5&hl=en&num=20",38
2,M Tantow,Major Trends in Mobile Cloud Computing,2011,Cloud Times,,,"https://scholar.google.com/scholar?cites=17752350054928073517&as_sdt=2005&sciodt=0,5&hl=en&num=20",60
2,M Tantow,Top 5 predictions for mobile cloud computing,2011,,,,"https://scholar.google.com/scholar?cites=1416121321270642214&as_sdt=2005&sciodt=0,5&hl=en&num=20",66
2,M Zhu,Mobile Cloud Computing: implications to smartphone forensic procedures and methodologies (Doctoral dissertation),2011,"University of Technology, School of Computing and …",,,"https://scholar.google.com/scholar?cites=10832231740266402964&as_sdt=2005&sciodt=0,5&hl=en&num=20",61
12,M Zhu,Mobile cloud computing: implications to smartphone forensic procedures and methodologies,2011,,aut.researchgateway.ac.nz,http://aut.researchgateway.ac.nz/handle/10292/2660,"https://scholar.google.com/scholar?cites=2265242037666245403&as_sdt=2005&sciodt=0,5&hl=en&num=20",34
9,"MAF Gutierrez, N Ventura",Mobile Cloud Computing based on service oriented architecture: Embracing network as a service for 3RD party application service providers,2011,… for Future Networks and Services (K …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6144211/,"https://scholar.google.com/scholar?cites=1999970434378021904&as_sdt=2005&sciodt=0,5&hl=en&num=20",33
0,"MN Jain, MR Tiwari, MA Jain",Challenges in Mobile Cloud Computing,2011,International Journal of Advanced …,ijarcs.info,http://ijarcs.info/index.php/Ijarcs/article/download/513/501,,73
2,"MS Lee, HY Oh, BW Min, YS Oh",Improvement of Mobile Web Usability for Mobile Cloud Computing,2011,The Journal of the Korea …,koreascience.or.kr,http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=CCTHCV_2011_v11n9_85,"https://scholar.google.com/scholar?cites=16970486615638503337&as_sdt=2005&sciodt=0,5&hl=en&num=20",86
67,"N Fernando, SW Loke…",Dynamic mobile cloud computing: Ad hoc and opportunistic job sharing,2011,Utility and Cloud …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6123509/,"https://scholar.google.com/scholar?cites=13670771155892636557&as_sdt=2005&sciodt=0,5&hl=en&num=20",12
0,"N Jain, R Tiwari, A Jain",Challenges in Mobile Cloud Computing,2011,International Journal of Advanced …,search.proquest.com,http://search.proquest.com/openview/71165e6ba7480880d7100a34b330b5c2/1?pq-origsite=gscholar&cbl=1606379,,71
27,"P Angin, BK Bhargava",Real-time mobile-cloud computing for context-aware blind navigation,2011,International Journal of Next-Generation …,cs.purdue.edu,https://www.cs.purdue.edu/homes/bb/RTMC.pdf,"https://scholar.google.com/scholar?cites=8249648938681131277&as_sdt=2005&sciodt=0,5&hl=en&num=20",24
40,P Cox,"Mobile cloud computing: devices, trends, issues, and the enabling technologies",2011,Ibm Developerworks,,,"https://scholar.google.com/scholar?cites=1409301604421476874&as_sdt=2005&sciodt=0,5&hl=en&num=20",18
0,P Simoens,Thin client protocol optimisations for mobile cloud computing,2011,,biblio.ugent.be,https://biblio.ugent.be/publication/1163994,,80
92,"P Simoens, F De Turck, B Dhoedt, P Demeester",Remote display solutions for mobile cloud computing,2011,Computer,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/5722945/,"https://scholar.google.com/scholar?cites=17298716555492873714&as_sdt=2005&sciodt=0,5&hl=en&num=20",8
47,"P Zhang, Z Yan",A QoS-aware system for mobile cloud computing,2011,"… and Intelligence Systems (CCIS), 2011 IEEE …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6045122/,"https://scholar.google.com/scholar?cites=2385466824245506515&as_sdt=2005&sciodt=0,5&hl=en&num=20",16
10,Q Wang,Mobile cloud computing,2011,,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.876.8541&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=16638536546879416889&as_sdt=2005&sciodt=0,5&hl=en&num=20",1
57,"R Ferzli, I Khalife",Mobile cloud computing educational tool for image/video processing algorithms,2011,"… Education Workshop (DSP/SPE), 2011 IEEE",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/5739270/,"https://scholar.google.com/scholar?cites=15780501635735284076&as_sdt=2005&sciodt=0,5&hl=en&num=20",13
3,RJ Shaikh,Mobile cloud computing Application,2011,International Conference on Technology and Business …,,,"https://scholar.google.com/scholar?cites=7996209595588825107&as_sdt=2005&sciodt=0,5&hl=en&num=20",54
2,"S Gitanjali, TC Govardhani, GL Priya…",Medical image data management system in mobile cloud computing environment,2011,… Conference on Signal …,researchgate.net,https://www.researchgate.net/profile/Muthuvel_Somasundaram/publication/259920951_Medical_Image_Data_Management_System_in_Mobile_Cloud_Computing_environment_SGitanjali_TCGovardhani_G_Lakshmi_Priya_and_M_Somasundaram/links/00b7d5336960a7644f000000/Medical-Image-Data-Management-System-in-Mobile-Cloud-Computing-environment-SGitanjali-TCGovardhani-G-Lakshmi-Priya-and-M-Somasundaram.pdf,"https://scholar.google.com/scholar?cites=4425340040350541899&as_sdt=2005&sciodt=0,5&hl=en&num=20",56
36,"S Kosta, A Aucinas, P Hui, R Mortier…",Unleashing the power of mobile cloud computing using thinkair,2011,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1105.3232,"https://scholar.google.com/scholar?cites=13236463131462522297&as_sdt=2005&sciodt=0,5&hl=en&num=20",19
0,"S Lee, H Kim",Experimental Intelligent Mobile Cloud Computing Platform over FiRST Project (The Korean Future Internet Testbed Project with Mobile Cloud Computing),2011,International Conference on …,… .asmedigitalcollection.asme.org,http://heattransfer.asmedigitalcollection.asme.org/content.aspx?bookId=484&sectionId=38791664&resultClick=1,,84
8,"S Weiguang, S Xiaolong",Review of Mobile cloud computing,2011,Communication Software and …,docshare01.docshare.tips,http://docshare01.docshare.tips/files/13177/131777156.pdf,"https://scholar.google.com/scholar?cites=4418554381660413236&as_sdt=2005&sciodt=0,5&hl=en&num=20",31
4,"SH Kim, GA Kim",An empirical study on the influence of environmental determinants on the mobile cloud computing technology usage and the moderating effects of job …,2011,Journal of Information Technology …,The Korea Database Society,,"https://scholar.google.com/scholar?cites=672429467796256254&as_sdt=2005&sciodt=0,5&hl=en&num=20",46
83,"SS Qureshi, T Ahmad, K Rafique",Mobile cloud computing as future for mobile applications-Implementation methods and challenging issues,2011,Cloud Computing and …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6045111/,"https://scholar.google.com/scholar?cites=5663701766155705102&as_sdt=2005&sciodt=0,5&hl=en&num=20",5
3,T Dave,Emergence Of Mobile Cloud Computing,2011,Tracking Developments In Indian Telecom Industry,,,"https://scholar.google.com/scholar?cites=5242252897999169977&as_sdt=2005&sciodt=0,5&hl=en&num=20",53
3,"W Itani, A Kayssi, A Chehab",Policy-based security channels for protecting network communication in mobile cloud computing,2011,Security and Cryptography …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6732435/,"https://scholar.google.com/scholar?cites=1114278451318646602&as_sdt=2005&sciodt=0,5&hl=en&num=20",50
