Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank
29,"Y Lin, B Kemme, M Patino-Martinez…",Enhancing edge computing with database replication,2007,"… , 2007. SRDS 2007 …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/4365683/,"https://scholar.google.com/scholar?cites=17694277621766017325&as_sdt=2005&sciodt=0,5&hl=en&num=20",5
7,"M Desertot, C Escoffier…",Towards an autonomic approach for edge computing,2007,… and Computation: Practice …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1002/cpe.1135/full,"https://scholar.google.com/scholar?cites=1579918932361236098&as_sdt=2005&sciodt=0,5&hl=en&num=20",14
0,JK Waters,"It's the Little Things: Cutting-Edge Computing Accessories Improve Productivity, Enhance Security, and Refine Systems, Putting So-Called'Peripheral'Needs Front and …",2007,THE Journal (Technological Horizons In Education),questia.com,https://www.questia.com/library/journal/1G1-165236359/it-s-the-little-things-cutting-edge-computing-accessories,,111
7,"J Elizondo, S Palmer",Edge-based cloud computing as a feasible network paradigm,2009,Department of Computer Science …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/0819/f0c9342267f7a15b4a49deca9fb15237c8b4.pdf,"https://scholar.google.com/scholar?cites=4411356669849546498&as_sdt=2005&sciodt=0,5&hl=en&num=20",12
1,SR Carter,Techniques for dynamic cloud-based edge service computing,2010,"US Patent App. 12/780,328",Google Patents,https://www.google.com/patents/US20110282975,"https://scholar.google.com/scholar?cites=10905930936768822049&as_sdt=2005&sciodt=0,5&hl=en&num=20",70
2,"M Fagan, MMH Khan, B Wang",Leveraging Cloud Infrastructure for Troubleshooting Edge Computing Systems,2012,Parallel and Distributed …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/6413665/,"https://scholar.google.com/scholar?cites=8645494316606482207&as_sdt=2005&sciodt=0,5&hl=en&num=20",38
6,R LaMothe,Edge computing,2013,… Northwest National Laboratory.[Online]. Available: http …,,,"https://scholar.google.com/scholar?cites=13022201240294057266&as_sdt=2005&sciodt=0,5&hl=en&num=20",17
32,"BI Ismail, EM Goortani, MB Ab Karim…",Evaluation of docker as edge computing platform,2015,Open Systems (ICOS …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7377291/,"https://scholar.google.com/scholar?cites=10702618813121670278&as_sdt=2005&sciodt=0,5&hl=en&num=20",7
20,"O Salman, I Elhajj, A Kayssi…",Edge computing enabling the Internet of Things,2015,Internet of Things (WF-IoT …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7389122/,"https://scholar.google.com/scholar?cites=12804851604789648229&as_sdt=2005&sciodt=0,5&hl=en&num=20",9
152,"P Garcia Lopez, A Montresor, D Epema…",Edge-centric computing: Vision and challenges,2015,ACM SIGCOMM …,dl.acm.org,http://dl.acm.org/citation.cfm?id=2831354,"https://scholar.google.com/scholar?cites=1199364779133351114&as_sdt=2005&sciodt=0,5&hl=en&num=20",11
1,"G Grassi, M Sammarco, P Bahl, K Jamieson…",Poster: ParkMaster: Leveraging Edge Computing in Visual Analytics,2015,Proceedings of the 21st …,dl.acm.org,http://dl.acm.org/citation.cfm?id=2795174,"https://scholar.google.com/scholar?cites=14003169408724637190&as_sdt=2005&sciodt=0,5&hl=en&num=20",46
0,"BS Livshits, EM Kiciman, D Simmons",Edge computing platform for delivery of rich internet applications,2015,"US Patent 9,152,411",Google Patents,https://www.google.com/patents/US9152411,,101
0,C Meiklejohn,A language-level approach to distributed computation with weak synchronization and its application to cloud and edge computing environments.,2015,,christophermeiklejohn.com,http://christophermeiklejohn.com/publications/thesis-proposal.pdf,,109
0,"S Das, EC Park",Small cell edge computing platform,2015,"US Patent App. 14/839,130",Google Patents,https://www.google.com/patents/US20170064037,,108
1,"S Li, Q Yu, MA Maddah-Ali…",A Scalable Coded Computing Framework for Edge-Facilitated Wireless Distributed Computing,2016,Edge Computing (SEC) …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7774676/,"https://scholar.google.com/scholar?cites=228964108622295286&as_sdt=2005&sciodt=0,5&hl=en&num=20",42
0,"G Yang, Q Sun, A Zhou, S Wang…",Access Point Ranking for Cloudlet Placement in Edge Computing Environment,2016,Edge Computing (SEC) …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7774679/,,155
2,"A Gosain, M Berman, M Brinn, T Mitchell, C Li, Y Wang…","Enabling Campus Edge Computing Using GENI Racks and Mobile Resources, 2016 IEEE",2016,… on Edge Computing,,,"https://scholar.google.com/scholar?cites=13593549284662624522&as_sdt=2005&sciodt=0,5&hl=en&num=20",35
2,C Raphael,Why edge computing is crucial for the IoT,2016,… . rtinsights. com/why-edge-computing-and-analytics-is …,,,"https://scholar.google.com/scholar?cites=8047793476624380935&as_sdt=2005&sciodt=0,5&hl=en&num=20",37
0,"N Kamiyama, Y Nakano, K Shiomoto…",Analyzing Effect of Edge Computing on Reduction of Web Response Time,2016,Global …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7841607/,,133
1,"XS Le, JC Le Lann, L Lagadec…",CaRDIN: An Agile Environment for Edge Computing on Reconfigurable Sensor Networks,2016,Computational …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7881332/,"https://scholar.google.com/scholar?cites=2890461788234706956&as_sdt=2005&sciodt=0,5&hl=en&num=20",162
22,"B Varghese, N Wang, S Barbhuiya…",Challenges and opportunities in edge computing,2016,Smart Cloud …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7796149/,"https://scholar.google.com/scholar?cites=15906984399009716594&as_sdt=2005&sciodt=0,5&hl=en&num=20",13
0,A Sridhar,"Some Applications of Machine Learning in Edge Computing, Wireless and Mobile Systems",2016,,minds.wisconsin.edu,https://minds.wisconsin.edu/bitstream/handle/1793/75934/Sridhar_Ananth_dissertation.pdf?sequence=1,,176
0,"C COSTEA, C Cola",Overview of Blockchain Technology in Edge Computing,2016,INNOVATIVE IDEAS IN SCIENCE 2016,conf.cunbm.utcluj.ro,http://conf.cunbm.utcluj.ro/index.php/iis/iis2016/paper/view/118,,217
5,"SY Lien, SC Hung, H Hsu…",Collaborative radio access of heterogeneous cloud radio access networks and edge computing networks,2016,"… Workshops (ICC), 2016 …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7503787/,"https://scholar.google.com/scholar?cites=9555856075121415164&as_sdt=2005&sciodt=0,5&hl=en&num=20",28
1,"VKC Bumgardner, VW Marek…",Cresco: A distributed agent-based edge computing framework,2016,Network and Service …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7818455/,"https://scholar.google.com/scholar?cites=15789094359106208380&as_sdt=2005&sciodt=0,5&hl=en&num=20",127
4,"H Gedawy, S Tariq, A Mtibaa…",Cumulus: A distributed and flexible computing testbed for edge cloud computational offloading,2016,Cloudification of the …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7872920/,"https://scholar.google.com/scholar?cites=3893168663765038193&as_sdt=2005&sciodt=0,5&hl=en&num=20",68
2,"W Emfinger, A Dubey, P Volgyesi…",Demo Abstract: RIAPS—A Resilient Information Architecture Platform for Edge Computing,2016,Edge Computing  …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7774696/,"https://scholar.google.com/scholar?cites=8950966895924948193&as_sdt=2005&sciodt=0,5&hl=en&num=20",139
0,"P Savolainen, J Vepsäläinen, J Ojala…","Demo Abstract: Spaceify, an Edge Computing Platform for Web of Things",2016,Edge Computing  …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7774698/,,119
0,S Banerjee,Edge computing in the extreme and its applications,2016,"Proceedings of the Eighth Wireless of the Students, by …",dl.acm.org,http://dl.acm.org/citation.cfm?id=2990474,,80
109,"W Shi, J Cao, Q Zhang, Y Li, L Xu",Edge computing: Vision and challenges,2016,IEEE Internet of Things …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7488250/,"https://scholar.google.com/scholar?cites=2953659796468971277&as_sdt=2005&sciodt=0,5&hl=en&num=20",2
0,"LIU Yang, Z LEI, K WU, CAI Hua…",Edge-centric Computing for Smart Water Supply: Management and Service,2016,DEStech …,dpi-proceedings.com,http://www.dpi-proceedings.com/index.php/dtmse/article/view/10443,,210
1,"A Papageorgiou, E Poormohammady…","Edge-Computing-Aware Deployment of Stream Processing Tasks Based on Topology-External Information: Model, Algorithms, and a Storm-Based Prototype",2016,Big Data (BigData …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7584946/,"https://scholar.google.com/scholar?cites=9647952232847551425&as_sdt=2005&sciodt=0,5&hl=en&num=20",123
4,"Z Hao, Q Li",Edgestore: Integrating edge computing into cloud-based storage systems,2016,"Edge Computing (SEC), IEEE/ACM Symposium on",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7774694/,"https://scholar.google.com/scholar?cites=16584868938030414537&as_sdt=2005&sciodt=0,5&hl=en&num=20",25
0,"K Imagane, K Kanai, J Katto…",Evaluation and analysis of system latency of edge computing for multimedia data processing,2016,"… Electronics, 2016 IEEE …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7800393/,,84
0,K Bhardwaj,"Frame, rods and beads of the edge computing abacus",2016,,smartech.gatech.edu,https://smartech.gatech.edu/handle/1853/56332,,201
2,C Raphael,Why edge computing is crucial for the IoT.,2016,… . rtinsights. com/why-edge-computing-and-analytics-is …,,,"https://scholar.google.com/scholar?cites=8047793476624380935&as_sdt=2005&sciodt=0,5&hl=en&num=20",13
13,"S Li, Q Yu, MA Maddah-Ali…",Edge-facilitated wireless distributed computing,2016,Global Communications …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7841765/,"https://scholar.google.com/scholar?cites=8692031938892001353&as_sdt=2005&sciodt=0,5&hl=en&num=20",15
22,"D Georgakopoulos, PP Jayaraman…",Internet of Things and edge cloud computing roadmap for manufacturing,2016,… Cloud Computing,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7571077/,"https://scholar.google.com/scholar?cites=11036660547711623951&as_sdt=2005&sciodt=0,5&hl=en&num=20",16
2,D Floyer,The Vital Role of Edge Computing in the Internet of Things.(2016),2016,,,,"https://scholar.google.com/scholar?cites=9655897121687876381&as_sdt=2005&sciodt=0,5&hl=en&num=20",17
1,"P Liu, D Willis, S Banerjee",ParaDrop: Enabling Lightweight Multi-tenancy at the Network's Extreme Edge Edge Computing (SEC),2016,IEEE/ACM Symposium on. IEEE,,,"https://scholar.google.com/scholar?cites=13988966752659831793&as_sdt=2005&sciodt=0,5&hl=en&num=20",31
1,BI Intelligence,"Edge computing in the IoT: forecasts, key benefits, and top industries adopting an analytics model that improves processing and cuts costs",2016,,,,"https://scholar.google.com/scholar?cites=4828708757658305295&as_sdt=2005&sciodt=0,5&hl=en&num=20",32
3,"H Gupta, SB Nath, S Chakraborty, SK Ghosh",SDFog: A Software Defined Computing Architecture for QoS Aware Service Orchestration over Edge Devices,2016,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1609.01190,"https://scholar.google.com/scholar?cites=7839532823888000921&as_sdt=2005&sciodt=0,5&hl=en&num=20",57
0,"MR Rodríguez, PG López…",TallyNetworks: Protecting Your Private Opinions with Edge-Centric Computing,2016,European Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-58943-5_17,,58
1,"E Mostajeran, MF Khalid, MNM Mydin…",Multifaceted Trust Assessment Framework for Container based Edge Computing Platform,2016,… On Advances in …,researchgate.net,https://www.researchgate.net/profile/Bukhary_Ismail/publication/308614589_Multifaceted_Trust_Assessment_Framework_for_Container_based_Edge_Computing_Platform/links/57ec748108aebb1961ffb2e6.pdf,"https://scholar.google.com/scholar?cites=11383515395040400240&as_sdt=2005&sciodt=0,5&hl=en&num=20",47
17,"M Villari, M Fazio, S Dustdar, O Rana…",Osmotic computing: A new paradigm for edge/cloud integration,2016,IEEE Cloud …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7802525/,"https://scholar.google.com/scholar?cites=12458191007101656346&as_sdt=2005&sciodt=0,5&hl=en&num=20",21
2,"MF Khalid, BI Ismail, MNM Mydin",Performance Comparison of Image and Workload Management of Edge Computing Using Different Virtualization Technologies,2016,2016 3rd International …,researchgate.net,https://www.researchgate.net/profile/Bukhary_Ismail/publication/308614459_Performance_Comparison_of_Image_and_Workload_Management_of_Edge_Computing_Using_Different_Virtualization_Technologies/links/57e8e4bb08ae9e5e4558e07d.pdf,"https://scholar.google.com/scholar?cites=1535989006907078733&as_sdt=2005&sciodt=0,5&hl=en&num=20",33
5,"T Dalvi, A Savagaonkar",Placing a virtual edge gateway appliance on a host computing system,2016,"US Patent 9,246,877",Google Patents,https://patents.google.com/patent/US9246877B2/en,"https://scholar.google.com/scholar?cites=1666655810718456788&as_sdt=2005&sciodt=0,5&hl=en&num=20",35
1,"N Kamiyama, Y Nakano, K Shiomoto…",Priority control based on website categories in edge computing,2016,… IEEE Conference on,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7562182/,"https://scholar.google.com/scholar?cites=7168875357623760640&as_sdt=2005&sciodt=0,5&hl=en&num=20",48
0,"M D'Angelo, M Caporuscio",Pure Edge Computing Platform for the Future Internet,2016,Federation of International Conferences on …,Springer,http://link.springer.com/chapter/10.1007/978-3-319-50230-4_36,,195
1,A Montresor,"Reflecting on the Past, Preparing for the Future: From Peer-to-Peer to Edge-Centric Computing",2016,"… Computing Systems (ICDCS), 2016 IEEE 36th …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7536500/,"https://scholar.google.com/scholar?cites=15657751947313210545&as_sdt=2005&sciodt=0,5&hl=en&num=20",74
0,S Bhattacharyya,Research on Edge Computing: A Detailed Study,2016,International Journal of Information Technology …,ijitjournal.org,http://www.ijitjournal.org/volume-2/issue-6/IJIT-V2I6P2.pdf,,128
2,"C Aggarwal, K Srivastava",Securing IOT devices using SDN and edge computing,2016,Next Generation Computing …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7877534/,"https://scholar.google.com/scholar?cites=8920160912825028007&as_sdt=2005&sciodt=0,5&hl=en&num=20",154
2,S Carlini,The Drivers and Benefits of Edge Computing,2016,Schneider Electric–Data Center Science Center,apc.com,http://www.apc.com/salestools/VAVR-A4M867/VAVR-A4M867_R0_EN.pdf,"https://scholar.google.com/scholar?cites=15496822488041219466&as_sdt=2005&sciodt=0,5&hl=en&num=20",32
0,GI Klas,"The Enterprise Micro-Datacenter: Small Cell Controllers, IoT Gateways and Edge Computing Servers",2016,,yucianga.info,http://yucianga.info/wp-content/uploads/2016/05/16_05_15_Enterprise_Micro_Datacenter_v1.pdf,,106
1,"J Abdelaziz, M Adda, H Mcheick",Toward Service Aggregation for Edge Computing,2016,Procedia Computer Science,Elsevier,http://www.sciencedirect.com/science/article/pii/S1877050916318154,"https://scholar.google.com/scholar?cites=16807297346585642202&as_sdt=2005&sciodt=0,5&hl=en&num=20",86
1,"TG Rodrigues, K Suto, H Nishiyama…",Towards a Low-Delay Edge Cloud Computing through a Combined Communication and Computation Approach,2016,"… (VTC-Fall), 2016 …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7881581/,"https://scholar.google.com/scholar?cites=9564096440265540195&as_sdt=2005&sciodt=0,5&hl=en&num=20",69
2,"P Beckman, R Sankaran, C Catlett…",Waggle: An open sensor platform for edge computing,2016,"SENSORS, 2016 …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7808975/,"https://scholar.google.com/scholar?cites=2735012807975885863&as_sdt=2005&sciodt=0,5&hl=en&num=20",34
1,"Y Chagh, Z Guennoun, Y Jouihri",Voice service in 5G network: Towards an edge-computing enhancement of voice over Wi-Fi,2016,… and Signal Processing (TSP) …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7760841/,"https://scholar.google.com/scholar?cites=7467580023276605975&as_sdt=2005&sciodt=0,5&hl=en&num=20",96
0,D WILLIS,1 ParaDrop: An Edge Computing Platform in Home Gateways,2017,Fog for 5G and IoT,books.google.com,"https://books.google.com/books?hl=en&lr=&id=TDdZDgAAQBAJ&oi=fnd&pg=PA13&dq=+%22Edge+Computing%22+-fog,+-mobile-edge,+-maps,+-graph,+-graphs,+-detection&ots=d44w_E3fFV&sig=IBtWVN7asrLlvsyVt-kr7Z5H_7E",,137
0,"J Xing, H Dai, Z Yu",A Distributed Multi-Level Model with Dynamic Replacement for the Storage of Smart Edge Computing,2017,Journal of Systems Architecture,Elsevier,https://www.sciencedirect.com/science/article/pii/S1383762117303119,,192
2,"S Dama, V Sathya, K Kuchi…",A Feasible Cellular Internet of Things: Enabling Edge Computing and the IoT in Dense Futuristic Cellular Networks,2017,IEEE Consumer …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7786962/,"https://scholar.google.com/scholar?cites=10572737141867080500&as_sdt=2005&sciodt=0,5&hl=en&num=20",55
1,"W Richardson, H Krishnaswami, R Vega, M Cervantes","A Low Cost, Edge Computing, All-Sky Imager for Cloud Tracking and Intra-Hour Irradiance Forecasting",2017,Sustainability,mdpi.com,http://www.mdpi.com/2071-1050/9/4/482/htm,"https://scholar.google.com/scholar?cites=11002919674096674442&as_sdt=2005&sciodt=0,5&hl=en&num=20",183
1,"C Liu, Y Cao, Y Luo, G Chen…",A New Deep Learning-based Food Recognition System for Dietary Assessment on An Edge Computing Service Infrastructure,2017,IEEE Transactions …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7837725/,"https://scholar.google.com/scholar?cites=16533891743016399547&as_sdt=2005&sciodt=0,5&hl=en&num=20",164
0,"L Miori, J Sanin, S Helmer",A Platform for Edge Computing Based on Raspberry Pi Clusters,2017,British International Conference on Databases,Springer,https://link.springer.com/chapter/10.1007/978-3-319-60795-5_16,,118
1,"S Nastic, T Rausch, O Scekic, S Dustdar…",A Serverless Real-Time Data Analytics Platform for Edge Computing,2017,IEEE Internet …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7994559/,"https://scholar.google.com/scholar?cites=8325731486075801941&as_sdt=2005&sciodt=0,5&hl=en&num=20",45
0,"T Dhand, NG Kumar",A Unified Framework for Service Availability and Workflow Scheduling in Edge Computing Environment,2017,,tudr.thapar.edu,http://tudr.thapar.edu:8080/jspui/handle/10266/4544,,130
0,"B Qi, L Kang, S Banerjee",A Vehicle-based Edge Computing Platform for Transit and Human Mobility Analytics,2017,,pages.cs.wisc.edu,http://pages.cs.wisc.edu/~bozhao/papers/trellis_sec.pdf,,120
0,"Y Song, SS Yau, R Yu, X Zhang…",An Approach to QoS-based Task Distribution in Edge Computing Networks for IoT Applications,2017,Edge Computing (EDGE) …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/8029254/,,92
0,"Z Chen, W Hu, J Wang, S Zhao, B Amos, G Wu, K Ha…",An Empirical Study of Latency in an Emerging Class of Edge Computing Applications for Wearable Cognitive Assistance,2017,,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/76fe/6ca1a43a7fed76440b0e0b2e54620ef5a84a.pdf,,179
0,"J Pitcher, M Pry",Applying Edge Computing to Autonomous Well Control,2017,SPE Symposium: Production Enhancement and …,onepetro.org,https://www.onepetro.org/conference-paper/SPE-189230-MS,,200
0,"ADS Veith, MD de Assunçao…",Assessing the Impact of Network Bandwidth and Operator Placement on Data Stream Processing for Edge Computing Environments,2017,… '2017-Conférence d' …,hal.archives-ouvertes.fr,https://hal.archives-ouvertes.fr/hal-01574448/,,159
0,"M Schneider, J Rambach…",Augmented reality based on edge computing using the example of remote live support,2017,"… Technology (ICIT), 2017 …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7915547/,,168
0,"J Feng, Z Liu, C Wu, Y Ji",AVE: Autonomous Vehicular Edge Computing Framework with ACO-Based Scheduling,2017,IEEE Transactions on Vehicular …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7946184/,,177
1,A Stanciu,Blockchain Based Distributed Control System for Edge Computing,2017,Control Systems and Computer Science (CSCS) …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7968630/,"https://scholar.google.com/scholar?cites=6790878143388157943&as_sdt=2005&sciodt=0,5&hl=en&num=20",44
2,"C Esposito, A Castiglione, F Pop…",Challenges of Connecting Edge and Cloud Computing: A Security and Forensic Perspective,2017,IEEE Cloud …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7912249/,"https://scholar.google.com/scholar?cites=9687649748347086004&as_sdt=2005&sciodt=0,5&hl=en&num=20",208
1,"A Amjad, F Rabby, S Sadia, M Patwary…",Cognitive Edge Computing based resource allocation framework for Internet of Things,2017,… Edge Computing  …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7946430/,"https://scholar.google.com/scholar?cites=17500264471750969330&as_sdt=2005&sciodt=0,5&hl=en&num=20",94
3,"Z Xiong, S Feng, D Niyato, P Wang, Z Han",Edge computing resource management and pricing for mobile blockchain,2017,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1710.01567,"https://scholar.google.com/scholar?cites=14073078830526544329&as_sdt=2005&sciodt=0,5&hl=en&num=20",30
0,"L Chen, J Xu",Collaborative Service Caching for Edge Computing in Dense Small Cell Networks,2017,arXiv preprint arXiv:1709.08662,arxiv.org,https://arxiv.org/abs/1709.08662,,99
1,"NC Luong, Z Xiong, P Wang, D Niyato",Optimal auction for edge computing resource management in mobile blockchain networks: A deep learning approach,2017,arXiv preprint arXiv:1711.02844,arxiv.org,https://arxiv.org/abs/1711.02844,"https://scholar.google.com/scholar?cites=16792605352712796599&as_sdt=2005&sciodt=0,5&hl=en&num=20",50
1,"Z Xiong, S Feng, D Niyato, P Wang, Z Han",Optimal Pricing-Based Edge Computing Resource Management in Mobile Blockchain,2017,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1711.01049,"https://scholar.google.com/scholar?cites=8925621952971235774&as_sdt=2005&sciodt=0,5&hl=en&num=20",54
0,"X Song, Y Huang, Q Zhou, F Ye…",Content Centric Peer Data Sharing in Pervasive Edge Computing Environments,2017,"… Systems (ICDCS), 2017 …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7979975/,,189
10,"T Taleb, K Samdanis, B Mada, H Flinck…",On Multi-Access Edge Computing: A Survey of the Emerging 5G Network Edge Architecture & Orchestration,2017,… Surveys & Tutorials,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7931566/,"https://scholar.google.com/scholar?cites=10471942930555453353&as_sdt=2005&sciodt=0,5&hl=en&num=20",63
1,"AC Baktir, A Ozgovde, C Ersoy","How Can Edge Computing Benefit from Software-Defined Networking: A Survey, Use Cases & Future Directions",2017,IEEE Communications Surveys …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7954011/,"https://scholar.google.com/scholar?cites=9291142681773180477&as_sdt=2005&sciodt=0,5&hl=en&num=20",64
0,VK Bumgardner,Contributions to Edge Computing,2017,,uknowledge.uky.edu,http://uknowledge.uky.edu/cs_etds/56/,,142
0,"R Beraldi, A Mtibaa, H Alnuweiri",Cooperative load balancing scheme for edge computing resources,2017,… and Mobile Edge Computing …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7946414/,,167
0,"N Tziritas, M Koziri, A Bachtsevani…",Data Replication and Virtual Machine Migrations to Mitigate Network Overhead in Edge Computing Systems,2017,IEEE Transactions …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7949154/,,198
0,"P Wood, H Zhang, MB Siddiqui, S Bagchi",Dependability in Edge Computing,2017,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1710.11222,,116
0,"M Villari, A Celesti, G Tricomi…",Deployment orchestration of microservices with geographical constraints for Edge computing,2017,"… (ISCC), 2017 IEEE …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/8024599/,,79
0,"T Kondo, H Watanabe…",Development of the Edge Computing Platform Based on Functional Modulation Architecture,2017,Computer Software and …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/8029941/,,98
2,"A Glikson, S Nastic, S Dustdar",Deviceless edge computing: extending serverless computing to the edge of the network,2017,… of the 10th ACM International Systems …,dl.acm.org,http://dl.acm.org/citation.cfm?id=3078497,"https://scholar.google.com/scholar?cites=16278220290275173920&as_sdt=2005&sciodt=0,5&hl=en&num=20",143
