Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,,,
4,Y Wang,"The relationships among cloud computing, fog computing, and dew computing",2015,Dew Computing Research,islandscholar.ca,https://www.islandscholar.ca/islandora/object/ir:20043,,,,,
32,"R Deng, R Lu, C Lai, TH Luan",Towards power consumption-delay tradeoff by workload allocation in cloud-fog computing,2015,Communications ICC 2015,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7248934/,,,,,
16,"LF Bittencourt, MM Lopes, I Petri,  ",Towards virtual machine migration in fog computing,2015,and Internet Computing,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7424534/,,,,,
17,"I Abdullahi, S Arif, S Hassan",Ubiquitous shift with information centric network caching using fog computing,2015,Computational Intelligence in Information,Springer,http://link.springer.com/chapter/10.1007/978-3-319-13153-5_32,,,,,
0,"JK Moon, YJ Song, JM Kim",A Delegation Model of Healthcare System Based of AB-PRE in Fog Computing Environment,2016,Advanced Science Letters,ingentaconnect.com,http://www.ingentaconnect.com/contentone/asp/asl/2016/00000022/00000011/art00053,,,,,
0,"TN Dang, CS Hong",A Distributed ADMM Approach for Data Offloading in Fog Computing,2016, ,networking.khu.ac.kr,http://networking.khu.ac.kr/gallery/layouts/net/publications/data/KIISE2016/Tri%20Nguyen%20Dang.pdf,,,,,
0,"TN Dang, SMA Kazami,  ",A Dynamic Algorithm for Computational Offloading in Fog Computing,2016, ,networking.khu.ac.kr,http://networking.khu.ac.kr/layouts/net/publications/data/KCC2016/%ED%8A%B8%EB%A6%AC.pdf,,,,,
3,"FY Okay, S Ozdemir",A fog computing based smart grid model,2016,Networks Computers and,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7746062/,,,,,
9,"Q Yaseen, F AlBalas, Y Jararweh,  ",A fog computing based system for selective forwarding detection in mobile wireless sensor networks,2016,and Applications of,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7789477/,,,,,
0,"W Ying, W Yi, C Wenying, R Hao",A Fog Computing Infrastructure for Distributed Analytics And Its Application in Risk Assessment to Power Grid,2016,Automation  Instrumentation,en.cnki.com.cn,http://en.cnki.com.cn/Article_en/CJFDTOTAL-ZDYY201609052.htm,,,,,
4,"Y Yan, W Su",A fog computing solution for advanced metering infrastructure,2016,Conference and Exposition TD 2016 IEEE,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7519890/,,,,,
6,"W Lee, K Nam, HG Roh, SH Kim",A gateway based fog computing architecture for wireless sensors and actuator networks,2016,Technology ICACT 2016,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7423332/,,,,,
0,"D Koo, Y Shin, J Yun, J Hur",A Hybrid Deduplication for Secure and Efficient Data Outsourcing in Fog Computing,2016,Cloud Computing Technology,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7830695/,,,,,
0,W Fang,A paradigm shift from cloud computing to fog computing and edge computing,2016,Nanjing Xinxi Gongcheng Daxue Xuebao,search.proquest.com,http://search.proquest.com/openview/836a60482d580105aa197d1e6cda7176/1?pq-origsite=gscholar&cbl=396471,,,,,
3,"MH Syed, EB Fernandez, M Ilyas",A pattern for Fog Computing,2016,of the 10th Travelling Conference on,dl.acm.org,http://dl.acm.org/citation.cfm?id=3022649,,,,,
3,"S Shin, S Seo, S Eom, J Jung,  ",A pub/sub-based Fog computing architecture for internet-of-vehicles,2016,Cloud Computing,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7830670/,,,,,
2,"CF Lai, DY Song, RH Hwang,  ",A QoS-aware streaming service over fog computing infrastructures,2016,Digital Media Industry ,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7574909/,,,,,
3,"F Al-Doghman, Z Chaczko, AR Ajayan,  ",A review on Fog Computing technology,2016,Systems Man and,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7844455/,,,,,
0,"AT Tran, RC Palacios",A SYSTEMATIC LITERATURE REVIEW OF FOG COMPUTING,2016,Norsk konferanse for organisasjoners bruk av IT,,,,,,,
5,"TH Luan, L Gao, Z Li, Y Xiang,  ",A view of fog computing from networking perspective,2016,arXiv preprint arXiv,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/7c4d/964ff6361df4d119eb958a9737ba3c2bcdaf.pdf,,,,,
1,"E Petac, AO Petac",About Security Solutions in Fog Computing,2016,Ovidius University Annals Economic Sciences Series,fict.ro,http://www.fict.ro/~ep/publications_files/ep_aop_ssfg16.pdf,,,,,
1,"MBAP Madumal, DAS Atukorale,  ",Adaptive event tree-based hybrid CEP computational model for Fog computing architecture,2016,Advances in ICT for,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7829892/,,,,,
0,"F Hosseinpour, J Plosila,  ",An Approach for Smart Management of Big Data in the Fog Computing Context,2016,Cloud Computing,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7830721/,,,,,
5,"AA Alsaffar, HP Pham, CS Hong, EN Huh,  ",An architecture of IoT service delegation and resource allocation based on collaboration between fog and cloud computing,2016,Mobile Information,hindawi.com,https://www.hindawi.com/journals/misy/2016/6123234/abs/,,,,,
9,"P Zhang, Z Chen, JK Liu, K Liang, H Liu",An efficient access control scheme with outsourcing capability and attribute update for fog computing,2016,Future Generation Computer,Elsevier,,,,,,
9,"S Agarwal, S Yadav, AK Yadav",An efficient architecture and algorithm for resource provisioning in fog computing,2016,International Journal of,search.proquest.com,http://search.proquest.com/openview/870d51a29d3f8a27889c7617fb3c87e2/1?pq-origsite=gscholar&cbl=2026670,,,,,
1,"S Verma, AK Yadav, D Motwani,  ",An efficient data replication and load balancing technique for fog computing environment,2016,Computing for,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7724792/,,,,,
