Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,,
19,"H Li, G Shou, Y Hu, Z Guo",Mobile edge computing: progress and challenges,2016,"Mobile Cloud Computing, Services …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7474412/,"https://scholar.google.com/scholar?cites=9873556235764496282&as_sdt=2005&sciodt=0,5&hl=en&num=20",22,,
12,"Y Jararweh, A Doulat, A Darabseh, ...",SDMEC: Software defined system for mobile edge computing,2016,"… (IC2EW), 2016 IEEE …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7527821/,"https://scholar.google.com/scholar?cites=10867723156775054575&as_sdt=2005&sciodt=0,5&hl=en&num=20",23,,
16,"D Sabella, A Vaillant, P Kuure, ...",Mobile-edge computing architecture: The role of MEC in the Internet of Things,2016,IEEE Consumer …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7574435/,"https://scholar.google.com/scholar?cites=8105552765934427144&as_sdt=2005&sciodt=0,5&hl=en&num=20",25,,
7,"L Gupta, R Jain, HA Chan",Mobile Edge Computing–an important ingredient of 5G Networks,2016,IEEE Software Defined Networks …,sdn.ieee.org,https://sdn.ieee.org/newsletter/march-2016/mobile-edge-computing-an-important-ingredient-of-5g-networks,"https://scholar.google.com/scholar?cites=9569838292225011652&as_sdt=2005&sciodt=0,5&hl=en&num=20",27,,
16,"Y Wang, M Sheng, X Wang, L Wang, ...",Mobile-edge computing: Partial computation offloading using dynamic voltage scaling,2016,IEEE Transactions on …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7542156/,"https://scholar.google.com/scholar?cites=8869741167352635927&as_sdt=2005&sciodt=0,5&hl=en&num=20",28,,
24,"X Sun, N Ansari",Edgeiot: Mobile edge computing for the internet of things,2016,IEEE Communications Magazine,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7786106/,"https://scholar.google.com/scholar?cites=4731846864619474959&as_sdt=2005&sciodt=0,5&hl=en&num=20",29,,
15,"X Sun, N Ansari",Primal: Profit maximization avatar placement for mobile edge computing,2016,"… (ICC), 2016 IEEE International Conference on",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7511131/,"https://scholar.google.com/scholar?cites=10008471147773661835&as_sdt=2005&sciodt=0,5&hl=en&num=20",30,,
16,"E Cau, M Corici, P Bellavista, L Foschini, ...",Efficient exploitation of mobile edge computing for virtualized 5G in EPC architectures,2016,… Cloud Computing …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7474417/,"https://scholar.google.com/scholar?cites=10692033742606981195&as_sdt=2005&sciodt=0,5&hl=en&num=20",31,,
11,"Y Mao, J Zhang, SH Song, ...",Power-delay tradeoff in multi-user mobile-edge computing systems,2016,"… (GLOBECOM), 2016 IEEE",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7842160/,"https://scholar.google.com/scholar?cites=5899990667021960059&as_sdt=2005&sciodt=0,5&hl=en&num=20",33,,
17,"JO Fajardo, F Liberal, I Giannoulakis, ...",Introducing mobile edge computing capabilities through distributed 5G cloud enabled small cells,2016,Mobile networks and …,Springer,http://link.springer.com/article/10.1007/s11036-016-0752-2,"https://scholar.google.com/scholar?cites=14031881123208341257&as_sdt=2005&sciodt=0,5&hl=en&num=20",34,,
6,G Brown,Mobile edge computing use cases and deployment options,2016,Juniper White Paper,,,"https://scholar.google.com/scholar?cites=5311236582768660974&as_sdt=2005&sciodt=0,5&hl=en&num=20",37,,
10,"BP Rimal, DP Van, M Maier",Mobile-edge computing vs. centralized cloud computing in fiber-wireless access networks,2016,… Workshops (INFOCOM WKSHPS …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7562226/,"https://scholar.google.com/scholar?cites=15128197093374935969&as_sdt=2005&sciodt=0,5&hl=en&num=20",40,,
5,"I Ketykó, L Kecskés, C Nemes, ...",Multi-user computation offloading as multiple knapsack problem for 5G mobile edge computing,2016,"… EuCNC), 2016 European …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7561037/,"https://scholar.google.com/scholar?cites=7485986038940625039&as_sdt=2005&sciodt=0,5&hl=en&num=20",43,,
5,"J Xu, S Ren",Online learning for offloading and autoscaling in renewable-powered mobile edge computing,2016,Global Communications Conference …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7842069/,"https://scholar.google.com/scholar?cites=17355102614810437861&as_sdt=2005&sciodt=0,5&hl=en&num=20",46,,
7,"J Plachy, Z Becvar, EC Strinati",Dynamic resource allocation exploiting mobility prediction in mobile edge computing,2016,"Personal, Indoor, and Mobile …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7794955/,"https://scholar.google.com/scholar?cites=9853249276826706221&as_sdt=2005&sciodt=0,5&hl=en&num=20",47,,
5,"C Vallati, A Virdis, E Mingozzi, ...",Mobile-edge computing come home connecting things in future smart homes using LTE device-to-device communications,2016,IEEE Consumer …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7574431/,"https://scholar.google.com/scholar?cites=10384956546778739527&as_sdt=2005&sciodt=0,5&hl=en&num=20",48,,
4,"Y Yu, J Zhang, KB Letaief",Joint Subcarrier and CPU Time Allocation for Mobile Edge Computing.,2016,GLOBECOM,,,"https://scholar.google.com/scholar?cites=2746109819617591316&as_sdt=2005&sciodt=0,5&hl=en&num=20",52,,
3,"Y Chen, L Ruckenbusch",Mobile edge computing: brings the value back to networks,2016,IEEE Software Defined Networks Newsletter,sdn.ieee.org,https://sdn.ieee.org/newsletter/march-2016/mobile-edge-computing-bring-the-values-back-to-networks,"https://scholar.google.com/scholar?cites=1256793448557094652&as_sdt=2005&sciodt=0,5&hl=en&num=20",53,,
6,"M Sapienza, E Guardo, M Cavallo, ...",Solving critical events through mobile edge computing: An approach for smart cities,2016,Smart Computing  …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7501719/,"https://scholar.google.com/scholar?cites=12210051192496545624&as_sdt=2005&sciodt=0,5&hl=en&num=20",54,,
7,"G Orsini, D Bade, W Lamersdorf",Cloudaware: A context-adaptive middleware for mobile edge and cloud computing applications,2016,… and Applications of Self …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7789471/,"https://scholar.google.com/scholar?cites=15989943963769760367&as_sdt=2005&sciodt=0,5&hl=en&num=20",55,,
6,"M Deng, H Tian, X Lyu",Adaptive sequential offloading game for multi-cell Mobile Edge Computing,2016,"Telecommunications (ICT), 2016 23rd …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7500395/,"https://scholar.google.com/scholar?cites=15334139704922453886&as_sdt=2005&sciodt=0,5&hl=en&num=20",57,,
4,"P Du, A Nakao",Application specific mobile edge computing through network softwarization,2016,"Cloud Networking (Cloudnet), 2016 5th IEEE …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7776588/,"https://scholar.google.com/scholar?cites=13802281486526230512&as_sdt=2005&sciodt=0,5&hl=en&num=20",59,,
7,"MH ur Rehman, C Sun, TY Wah, A Iqbal, ...",Opportunistic computation offloading in mobile edge cloud computing environments,2016,Mobile Data …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7517797/,"https://scholar.google.com/scholar?cites=10004058440594429985&as_sdt=2005&sciodt=0,5&hl=en&num=20",61,,
3,"P Mach, Z Becvar",Cloud?aware power control for real?time application offloading in mobile edge computing,2016,Transactions on Emerging …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1002/ett.3009/full,"https://scholar.google.com/scholar?cites=5032851140161939940&as_sdt=2005&sciodt=0,5&hl=en&num=20",62,,
3,"JM ZHANG, WL XIE, FY YANG",Mobile edge computing and application in traffic offloading,2016,Telecommunications Science,,,"https://scholar.google.com/scholar?cites=16497668717367701160&as_sdt=2005&sciodt=0,5&hl=en&num=20",63,,
2,"H Frank, WF Fuhrmann, BV Ghita",Mobile Edge Computing: Requirements for Powerful Mobile Near Real-Time Applications.,2016,INC,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/098f/5c42a0d949da37e962e78049ef63e12d098c.pdf,"https://scholar.google.com/scholar?cites=17659208847119324339&as_sdt=2005&sciodt=0,5&hl=en&num=20",65,,
7,"N Fernando, SW Loke, ...",Computing with nearby mobile devices: a work sharing algorithm for mobile edge-clouds,2016,… on Cloud Computing,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7462221/computer.org/tcc,"https://scholar.google.com/scholar?cites=12279250692273993936&as_sdt=2005&sciodt=0,5&hl=en&num=20",66,,
6,"K Sasaki, N Suzuki, S Makido, ...",Vehicle control system coordinated between cloud and mobile edge computing,2016,Society of Instrument and …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7749210/,"https://scholar.google.com/scholar?cites=8650809664671028098&as_sdt=2005&sciodt=0,5&hl=en&num=20",67,,
8,"N Kumar, S Zeadally, ...",Vehicular delay-tolerant networks for smart grid data management using mobile edge computing,2016,IEEE Communications …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7588230/,"https://scholar.google.com/scholar?cites=3001846511993742622&as_sdt=2005&sciodt=0,5&hl=en&num=20",68,,
4,"V Vassilakis, IP Chochliouros, AS Spiliopoulou, ...",Security analysis of mobile edge computing in virtualized small cell networks,2016,… Conference on Artificial …,Springer,http://link.springer.com/chapter/10.1007/978-3-319-44944-9_58,"https://scholar.google.com/scholar?cites=18011653617220162259&as_sdt=2005&sciodt=0,5&hl=en&num=20",70,,
5,"K Zhang, Y Mao, S Leng, A Vinel, ...",Delay constrained offloading for mobile edge computing in cloud-enabled vehicular networks,2016,… Networks Design and …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7608300/,"https://scholar.google.com/scholar?cites=5171462523086333756&as_sdt=2005&sciodt=0,5&hl=en&num=20",71,,
2,"V Vassilakis, E Panaousis, H Mouratidis",Security challenges of small cell as a service in virtualized mobile edge computing environments,2016,IFIP International Conference on …,Springer,http://link.springer.com/chapter/10.1007/978-3-319-45931-8_5,"https://scholar.google.com/scholar?cites=1596317654109600650&as_sdt=2005&sciodt=0,5&hl=en&num=20",72,,
2,"A Ahmed, E Ahmed",A Survey on Mobile Edge Computing-10th IEEE International Conference on Intelligent Systems and Control,2016,,ISCO,,"https://scholar.google.com/scholar?cites=10175636161320562584&as_sdt=2005&sciodt=0,5&hl=en&num=20",76,,
5,M ETSI,Mobile Edge Computing (MEC); Framework and reference architecture,2016,"ETSI, DGS MEC",,,"https://scholar.google.com/scholar?cites=16366250831071278729&as_sdt=2005&sciodt=0,5&hl=en&num=20",77,,
2,G ETSI,Mobile Edge Computing (MEC) Framework and Reference Architecture,2016,,,,"https://scholar.google.com/scholar?cites=3271768240471587797&as_sdt=2005&sciodt=0,5&hl=en&num=20",78,,
2,"I Giannoulakis, E Kafetzakis, ...",The emergence of operator?neutral small cells as a strong case for cloud computing at the mobile edge,2016,Transactions on …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1002/ett.3077/full,"https://scholar.google.com/scholar?cites=15264366602378811634&as_sdt=2005&sciodt=0,5&hl=en&num=20",85,,
1,"A Al-Shuwaili, O Simeone",Optimal resource allocation for mobile edge computing-based augmented reality applications,2016,arXiv preprint arXiv:1611.09243,arxiv.org,https://arxiv.org/abs/1611.09243,"https://scholar.google.com/scholar?cites=10381986373861676262&as_sdt=2005&sciodt=0,5&hl=en&num=20",93,,
1,"L Tianze, W Muqing, Z Min",Consumption considered optimal scheme for task offloading in mobile edge computing,2016,"Telecommunications (ICT), 2016 …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7500484/,"https://scholar.google.com/scholar?cites=12341079650709678766&as_sdt=2005&sciodt=0,5&hl=en&num=20",95,,
1,"T Zhao, S Zhou, X Guo, Y Zhao, ...",Pricing policy and computational resource provisioning for delay-aware mobile edge computing,2016,Communications in China …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7636891/,"https://scholar.google.com/scholar?cites=17449664045842970976&as_sdt=2005&sciodt=0,5&hl=en&num=20",96,,
1,"J Guo, Z Song, Y Cui",Energy-Efficient Resource Allocation for Multi-User Mobile Edge Computing,2016,arXiv preprint arXiv:1611.01786,arxiv.org,https://arxiv.org/abs/1611.01786,"https://scholar.google.com/scholar?cites=4385178134370376202&as_sdt=2005&sciodt=0,5&hl=en&num=20",102,,
3,G ETSI,Mobile Edge Computing (MEC),2016,Technical Requirements,,,"https://scholar.google.com/scholar?cites=18123923815466093821&as_sdt=2005&sciodt=0,5&hl=en&num=20",115,,
2,"A Gosain, M Berman, M Brinn, T Mitchell, ...",Enabling Campus Edge Computing using GENI Racks and Mobile Resources,2016,Edge Computing  …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7774352/,"https://scholar.google.com/scholar?cites=11631660505287233964&as_sdt=2005&sciodt=0,5&hl=en&num=20",121,,
3,"SQ Lee, J Kim",Local breakout of mobile access network traffic by mobile edge computing,2016,Information and Communication Technology …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7763283/,"https://scholar.google.com/scholar?cites=12750753674925592592&as_sdt=2005&sciodt=0,5&hl=en&num=20",126,,
0,"OG Aliu, C Niephaus, ...",Wireless backhaul for mobile edge computing,2016,NetSoft Conference and …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7502405/,,128,,
1,"J Xu, L Chen, K Liu, C Shen",Less is More: Participation Incentives in D2D-enhanced Mobile Edge Computing under Infectious DDoS Attacks,2016,arXiv preprint arXiv:1611.03841,arxiv.org,https://arxiv.org/abs/1611.03841,"https://scholar.google.com/scholar?cites=12530278717795157668&as_sdt=2005&sciodt=0,5&hl=en&num=20",130,,
3,Y Yu,"Mobile edge computing towards 5G: Vision, recent progress, and open challenges",2016,China Communications,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7405725/,"https://scholar.google.com/scholar?cites=6441356690383508808&as_sdt=2005&sciodt=0,5&hl=en&num=20",147,,
3,"E de Lara, CS Gomes, S Langridge, ...",Hierarchical Serverless Computing for the Mobile Edge,2016,Edge Computing  …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7774691/,"https://scholar.google.com/scholar?cites=9941368933236190211&as_sdt=2005&sciodt=0,5&hl=en&num=20",152,,
0,B Frankston,Mobile-Edge Computing Versus The Internet?: Looking beyond the literal meaning of MEC,2016,IEEE Consumer Electronics Magazine,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7574426/,,174,,
0,"S Singh, YC Chiu, YH Tsai, ...",Mobile Edge Fog Computing in 5G Era: Architecture and Implementation,2016,"… Symposium (ICS), 2016 …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7858573/,,194,,
2,"Y Li, PA Frangoudis, Y Hadjadj-Aoul, ...",A Mobile Edge Computing-based architecture for improved adaptive HTTP video delivery,2016,… and Networking (CSCN …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7784892/,"https://scholar.google.com/scholar?cites=13527921931735355868&as_sdt=2005&sciodt=0,5&hl=en&num=20",197,,
0,"A Mtibaa, KA Harras, H Alnuweiri",Detecting And Tracking Attacks in Mobile Edge Computing Platforms,2016,Qatar Foundation Annual …,qscience.com,http://www.qscience.com/doi/abs/10.5339/qfarc.2016.ICTPP2011,,198,,
2,"S Dey, A Mukherjee",Robotic SLAM: a Review from Fog Computing and Mobile Edge Computing Perspective,2016,… on Mobile and Ubiquitous Systems: Computing …,dl.acm.org,http://dl.acm.org/citation.cfm?id=3004032,"https://scholar.google.com/scholar?cites=10792641665861091013&as_sdt=2005&sciodt=0,5&hl=en&num=20",208,,
2,"K Katsalis, TG Papaioannou, N Nikaein, ...",SLA-driven VM Scheduling in Mobile Edge Computing,2016,Cloud Computing  …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7820341/,"https://scholar.google.com/scholar?cites=14327094528697095526&as_sdt=2005&sciodt=0,5&hl=en&num=20",210,,
4,"J Zhang, W Xie, F Yang, Q Bi",Mobile edge computing and field trial results for 5G low latency scenario,2016,China Communications,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7833471/,"https://scholar.google.com/scholar?cites=18150565833986559463&as_sdt=2005&sciodt=0,5&hl=en&num=20",211,,
0,"X Lin, H Zhang, H Ji, VCM Leung",Joint computation and communication resource allocation in mobile-edge cloud computing networks,2016,Network Infrastructure and …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7974557/,,225,,
0,"S Li, Z Guo, G Shou, Y Hu, H Li",QoE analysis of NFV-based mobile edge computing video application,2016,Network Infrastructure and …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7974607/,,226,,
0,CS Lee,Mobile Edge Computing for Low Latency,2016,,,,,246,,
0,"SY Kim, X de Foy, R Gazda, ...",Mobile Edge Computing Technology in 5G Networks,2016,OSIA Standards & …,???????????,,,247,,
2,"S Nunna, K Ganesan",Mobile Edge Computing,2017,Health 4.0: How Virtualization and Big Data are …,Springer,http://link.springer.com/chapter/10.1007/978-3-319-47617-9_9,"https://scholar.google.com/scholar?cites=17248935669840508330&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,,
27,"Y Mao, C You, J Zhang, K Huang, KB Letaief",Mobile edge computing: Survey and research outlook,2017,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1701.01090,"https://scholar.google.com/scholar?cites=9603432830207175752&as_sdt=2005&sciodt=0,5&hl=en&num=20",18,,
16,"T Taleb, S Dutta, A Ksentini, M Iqbal, ...",Mobile edge computing potential in making cities smarter,2017,IEEE Communications …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7876955/,"https://scholar.google.com/scholar?cites=7380833895606979357&as_sdt=2005&sciodt=0,5&hl=en&num=20",26,,
9,"Y Mao, C You, J Zhang, K Huang, ...",A survey on mobile edge computing: The communication perspective,2017,… Surveys & Tutorials,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/8016573/,"https://scholar.google.com/scholar?cites=7972767325790255135&as_sdt=2005&sciodt=0,5&hl=en&num=20",32,,
13,"TX Tran, P Pandey, A Hajisami, ...",Collaborative multi-bitrate video caching and processing in mobile-edge computing networks,2017,Wireless On-demand …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7888772/,"https://scholar.google.com/scholar?cites=16649399898666932015&as_sdt=2005&sciodt=0,5&hl=en&num=20",36,,
11,"BP Rimal, DP Van, M Maier",Mobile edge computing empowered fiber-wireless access networks in the 5G era,2017,IEEE Communications Magazine,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7842434/,"https://scholar.google.com/scholar?cites=13170645061755097569&as_sdt=2005&sciodt=0,5&hl=en&num=20",41,,
19,"D Satria, D Park, M Jo",Recovery for overloaded mobile edge computing,2017,Future Generation Computer Systems,Elsevier,http://www.sciencedirect.com/science/article/pii/S0167739X16302096,"https://scholar.google.com/scholar?cites=11138481212213120724&as_sdt=2005&sciodt=0,5&hl=en&num=20",42,,
10,"E Ahmed, MH Rehmani","Mobile edge computing: opportunities, solutions, and challenges",2017,,Elsevier,http://www.sciencedirect.com/science/article/pii/S0167739X16303260,"https://scholar.google.com/scholar?cites=10327585845324909006&as_sdt=2005&sciodt=0,5&hl=en&num=20",44,,
17,"TX Tran, A Hajisami, P Pandey, ...","Collaborative Mobile Edge Computing in 5G Networks: New Paradigms, Scenarios, and Challenges",2017,IEEE Communications …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7901477/,"https://scholar.google.com/scholar?cites=13777307070551000340&as_sdt=2005&sciodt=0,5&hl=en&num=20",45,,
4,"A Kiani, N Ansari",Towards hierarchical mobile edge computing: An auction-based profit maximization approach,2017,IEEE Internet of Things Journal,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/8030317/,"https://scholar.google.com/scholar?cites=669089563260468953&as_sdt=2005&sciodt=0,5&hl=en&num=20",50,,
3,"J Liu, J Wan, B Zeng, Q Wang, ...",A scalable and quick-response software defined vehicular network assisted by mobile edge computing,2017,IEEE Communications …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7981532/,"https://scholar.google.com/scholar?cites=12774293467387534111&as_sdt=2005&sciodt=0,5&hl=en&num=20",60,,
22,"P Mach, Z Becvar",Mobile edge computing: A survey on architecture and computation offloading,2017,IEEE Communications Surveys & Tutorials,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7879258/,"https://scholar.google.com/scholar?cites=14381627507893686044&as_sdt=2005&sciodt=0,5&hl=en&num=20",64,,
2,"T Zhao, S Zhou, X Guo, Z Niu",Tasks scheduling and resource allocation in heterogeneous cloud for delay-bounded mobile edge computing,2017,"Communications (ICC), 2017 …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7996858/,"https://scholar.google.com/scholar?cites=6133463378410746477&as_sdt=2005&sciodt=0,5&hl=en&num=20",69,,
